dist,rt
15.61488,717
34.59415,826
28.59206,634
13.66072,651
32.89114,701
3.261793,542
9.294806,684
20.26168,784
5.144207,626
21.08107,684
8.531494,584
11.55591,492
4.804601,634
7.125072,842
23.43665,651
17.89758,943
8.269494,526
21.73535,651
2.77608,609
9.098094,892
6.004973,792
12.1877,576
16.29275,659
53.2681,676
14.29389,534
19.9224,551
11.68462,601
19.99434,534
9.034823,592
14.22262,542
17.72179,584
8.82534,567
5.702432,534
10.71388,542
12.56788,584
13.28867,692
3.983637,684
11.90415,592
23.53915,534
4.28725,776
5.123501,600
17.57155,884
8.071017,542
14.37647,688
4.441732,634
14.3126,617
31.47227,601
11.3714,709
3.773533,542
37.17305,675
6.65888,509
19.07802,584
27.59544,592
6.645521,617
6.711077,542
18.25233,559
12.17601,517
11.2929,592
39.64769,542
8.788232,667
8.829054,559
4.034081,651
23.78892,826
4.727812,517
24.47523,634
39.06519,684
5.586853,550
10.06169,517
11.26756,626
2.744034,500
8.343108,826
9.701761,626
15.17816,609
46.79546,626
9.783535,525
11.08357,642
3.864845,559
20.51822,575
9.519865,667
26.23647,559
23.31789,584
5.050445,501
44.19858,642
4.284149,567
5.287454,801
7.903245,542
35.27186,626
20.95236,1076
10.66755,601
4.910178,701
20.26487,667
6.357583,609
4.7187,893
7.586972,726
7.304815,809
14.33405,701
31.59292,684
0.6652311,601
27.05272,584
19.08552,642
27.99632,717
4.906965,967
2.933673,742
9.67347,684
13.59207,851
21.62986,567
26.5916,517
7.740008,667
4.798289,584
14.18599,651
3.497802,559
4.925628,709
5.528248,576
6.156623,534
29.72434,909
16.98482,734
10.51563,550
16.53621,726
19.17135,550
9.879725,600
4.553797,551
1.959884,626
9.768931,634
12.39883,767
12.87221,692
4.694279,676
21.86563,601
7.45471,701
5.705164,584
3.538698,559
2.637834,634
5.451049,576
7.45492,542
9.310972,601
14.90661,684
17.67873,559
15.49421,659
15.46469,542
5.59586,550
12.54907,567
8.844005,601
19.86202,534
5.772403,559
6.802409,551
5.297775,517
23.04532,526
11.14322,550
6.61488,575
11.5246,517
20.87506,792
17.27351,659
5.317598,601
22.12015,634
2.320199,667
12.38713,676
1.449421,626
4.85781,659
3.714613,542
13.13636,567
6.454979,642
17.717,709
18.11679,567
19.29508,576
9.679249,475
4.972964,484
7.321294,559
14.24801,517
14.11252,542
17.31898,534
7.198242,542
22.79014,559
13.17302,584
13.02721,768
6.294455,509
17.73995,500
20.14537,559
7.10828,501
10.43368,525
6.455724,542
13.06271,542
16.36789,534
18.20156,559
19.14565,575
11.22902,584
17.67376,584
17.29153,509
12.5878,501
14.9379,542
13.48905,525
9.58718,559
23.1384,509
5.844385,509
8.113114,567
16.52445,542
33.08383,500
4.470772,559
21.8219,876
10.44947,701
4.115549,542
6.187213,509
15.48939,584
6.819318,1101
5.338128,592
11.75716,542
6.917873,517
16.31914,542
10.85411,609
19.46034,617
14.97677,542
10.23047,584
4.527581,726
8.651562,809
18.55646,584
15.3735,558
8.901318,617
28.0062,659
5.904417,609
25.20544,601
7.867605,567
12.97516,626
11.57816,726
23.53525,548
14.92372,642
15.6413,959
20.78365,526
4.844464,617
33.64151,542
23.4859,692
7.392202,801
19.1246,567
21.24105,559
4.734554,542
12.11486,534
13.68381,484
15.40329,609
25.29133,542
23.27133,692
13.88288,561
6.569412,542
9.308,681
12.47776,601
16.21961,659
4.920748,609
12.68086,517
12.73995,526
11.1982,662
12.37746,545
19.50743,542
8.043466,609
22.20761,484
20.99339,534
18.23609,481
10.09533,559
5.510794,550
3.075392,509
31.82419,576
20.36859,642
10.15693,500
4.097356,492
11.98,542
23.0489,500
9.695521,534
10.37947,817
9.21623,500
12.83561,526
10.05271,617
3.96933,609
11.36855,709
20.32715,601
12.42923,609
30.90964,609
3.489413,617
14.05763,642
5.325334,559
11.82419,550
4.2704,626
13.13251,550
22.43502,542
25.1985,592
2.538567,734
3.254838,467
12.47461,517
19.25932,517
7.67104,584
9.061234,801
34.7575,551
16.56259,742
26.27139,578
15.05254,551
17.97437,542
17.26196,717
11.53329,509
3.480905,492
10.02093,534
21.93843,517
10.52588,676
8.901374,692
8.030761,617
5.919331,634
34.62489,517
11.75195,484
10.97937,509
15.94937,542
10.20356,634
11.63476,517
20.76489,709
5.929284,726
21.9931,567
1.546081,551
17.58832,676
26.89375,609
8.741744,651
16.27605,542
13.68648,584
3.649898,559
15.55194,509
5.256209,559
12.50217,534
6.426019,542
10.78231,542
4.78685,476
21.35851,667
11.98867,634
16.8411,567
3.482237,542
23.21889,526
15.87712,517
8.204734,584
17.9105,634
13.62073,592
1.540099,609
22.55537,517
21.22003,551
11.49712,684
14.42885,684
17.15201,651
18.19558,801
19.41595,667
22.04471,667
9.106993,851
18.15932,592
10.68681,726
6.377868,626
8.783347,701
16.1396,550
19.11699,642
20.46445,617
2.88516,559
18.39838,767
10.55407,592
10.57103,634
7.732519,567
16.2366,667
12.32898,600
26.57618,567
8.403542,676
5.073395,542
13.88467,592
15.93025,634
4.328468,734
14.32845,792
6.254165,842
44.15934,676
28.87968,801
22.03489,651
9.796,634
1.88203,560
17.15434,659
11.76987,580
1.398785,651
12.87552,584
3.868929,576
10.46707,576
2.705605,614
27.4816,609
4.563565,642
5.325881,617
14.02561,626
13.49847,809
20.97988,559
16.19221,567
17.30322,601
20.67275,634
11.74523,509
8.717161,584
5.893399,567
25.71904,559
5.860682,634
11.49071,609
17.57762,551
12.92362,534
8.690578,801
8.180305,830
3.749074,584
31.52031,559
14.53561,542
10.09136,592
11.91296,584
19.64709,534
3.64917,500
22.32278,701
17.90141,651
26.58572,651
11.00807,876
16.96946,642
5.097429,834
3.332347,584
25.05017,659
14.58109,601
9.345459,559
19.48158,767
13.50921,626
7.099835,651
19.99253,626
17.0945,726
17.54177,617
7.614895,534
0.7696468,659
16.25634,642
12.73606,684
22.45113,609
16.72027,934
7.57877,534
10.27469,792
10.00085,609
11.79783,667
11.92298,592
13.74815,567
16.36243,634
